drawdate,sales,n1,n2,n3,n4,n5,winners_5,winners_4,winners_3,winners_2,prize_5,prize_4,prize_3,prize_2
2012-11-17,186122,10,22,28,29,32,0,47,2012,20395,0,647,11,2
2012-11-19,181868,8,11,16,17,24,3,75,2271,21830,6326,114,9,2
2012-11-20,167691,7,10,16,22,27,0,76,2086,19980,0,336,9,2
2012-11-21,182140,13,16,25,31,32,0,46,1809,18928,0,674,12,2
2012-11-22,137467,2,9,14,24,34,0,59,1780,15523,0,372,9,2
2012-11-23,173556,3,13,27,34,37,0,66,2035,20046,0,412,9,2
2012-11-24,183288,1,2,4,8,34,1,83,2436,20971,19955,108,9,2
2012-11-26,178405,1,9,17,25,33,0,69,1925,20064,0,414,10,2
2012-11-27,164455,3,9,28,34,37,0,56,1927,19150,0,457,10,2
2012-11-28,179537,1,18,25,30,31,1,46,1715,18760,20977,206,13,2
2012-11-29,167502,5,18,27,29,35,0,49,1942,18827,0,548,10,2
2012-11-30,192276,10,21,25,32,34,0,52,1919,20782,0,611,12,2
2012-12-01,199477,8,12,28,31,36,2,63,2187,21945,11211,160,10,2
2012-12-03,199495,6,12,14,29,37,1,66,2257,22695,21825,149,10,2
2012-12-04,179640,2,16,24,36,37,0,56,1964,19458,0,529,11,2
2012-12-05,181779,1,2,19,22,32,0,47,1909,19943,0,632,11,2
2012-12-06,184078,4,16,23,26,33,1,57,2100,20485,20504,162,10,2
2012-12-07,193301,4,26,30,33,36,0,54,1890,19546,0,621,13,2
2012-12-08,194973,1,3,9,11,30,0,79,2694,23861,0,367,8,2
2012-12-10,187211,5,6,19,30,31,0,62,1973,20814,0,488,11,2
2012-12-11,170423,13,22,23,27,32,2,74,1922,18923,9508,115,10,2
2012-12-12,185077,3,14,17,19,24,1,85,2291,21579,19827,105,9,2
2012-12-13,181460,11,15,24,26,27,0,56,1934,20707,0,514,11,2
2012-12-14,188639,3,7,10,22,37,0,91,2541,23736,0,299,7,2
2012-12-15,191107,10,26,28,29,36,0,54,1982,20215,0,595,12,2
2012-12-17,191900,15,17,20,21,30,0,58,2198,21411,0,534,10,2
2012-12-18,174690,2,16,24,30,37,0,79,1741,19190,0,361,12,2
2012-12-19,178891,2,5,12,21,33,1,95,2225,20942,19095,90,9,2
2012-12-20,176845,7,17,24,34,35,0,85,2132,20387,0,327,9,2
2012-12-21,189723,2,17,22,27,37,2,113,2306,21518,10403,82,10,2
2012-12-22,193592,4,13,17,21,37,1,74,2262,22386,20889,128,9,2
2012-12-24,205591,18,31,33,34,35,1,155,2333,20878,24507,71,11,2
2012-12-25,122076,7,8,18,19,23,0,46,1572,15477,0,382,9,2
2012-12-26,166606,4,6,16,29,30,0,39,1739,18242,0,699,11,2
2012-12-27,173115,4,6,18,21,29,1,75,1970,19726,18912,113,10,2
2012-12-28,184779,15,19,24,26,37,0,73,1932,20439,0,411,11,2
2012-12-29,190424,1,7,16,28,37,1,76,2225,22693,20005,119,9,2
2012-12-31,216521,8,12,21,28,35,0,62,2552,24618,0,554,10,2
2013-01-01,146919,6,12,14,17,29,0,62,1698,17035,0,370,10,2
2013-01-02,173625,16,17,20,26,37,0,50,1814,19270,0,562,11,2
2013-01-03,184168,16,18,28,30,33,0,45,1930,19832,0,679,11,2
2013-01-04,190407,10,20,30,31,35,0,112,2180,19763,0,289,11,2
2013-01-05,189366,7,13,20,25,30,0,64,2286,21750,0,466,9,2
2013-01-07,190593,12,22,23,25,34,0,46,2056,21264,0,669,11,2
2013-01-08,169078,1,6,7,28,30,2,61,1905,19473,9152,135,10,2
2013-01-09,167431,11,17,21,26,37,0,60,2131,19729,0,429,8,2
2013-01-10,179224,8,17,20,25,34,2,59,1914,19961,9975,152,11,2
2013-01-11,186947,16,18,23,28,36,1,52,2054,19790,21638,188,11,2
2013-01-12,185377,11,12,15,23,33,0,62,2178,21572,0,465,10,2
2013-01-14,182718,5,6,22,27,34,1,46,1889,20152,20498,201,11,2
2013-01-15,165808,6,11,16,32,35,1,49,1581,17966,18859,173,13,2
2013-01-16,172228,2,15,17,30,33,0,45,1745,18944,0,625,11,2
2013-01-17,174897,7,11,24,29,30,0,78,2077,21295,0,334,9,2
2013-01-18,184292,11,14,21,27,34,0,61,2118,21278,0,474,10,2
2013-01-19,189886,13,17,18,24,27,1,72,2321,22178,20310,127,9,2
2013-01-21,176316,2,15,16,33,37,2,69,1961,19575,9838,128,10,2
2013-01-22,166174,20,32,33,34,37,0,117,2112,17183,0,243,10,2
2013-01-23,170566,8,13,16,20,30,0,78,1883,19114,0,351,10,2
2013-01-24,171944,1,15,21,31,33,0,62,1819,18448,0,461,12,2
2013-01-25,180164,15,29,30,31,32,0,63,1763,18580,0,489,12,2
2013-01-26,183255,1,11,20,21,34,0,71,2073,20504,0,415,10,2
2013-01-28,181132,2,4,11,19,32,0,62,2053,21397,0,449,10,2
2013-01-29,160956,10,15,30,32,33,0,48,1786,17295,0,557,11,2
2013-01-30,165875,1,3,28,29,37,0,44,1915,19462,0,582,10,2
2013-01-31,171857,15,17,22,31,36,0,42,1525,18122,0,689,13,2
2013-02-01,193281,7,18,24,32,35,0,68,2105,21427,0,460,11,2
2013-02-02,193569,8,17,20,21,28,0,76,2333,22738,0,393,9,2
2013-02-04,187178,5,9,10,17,29,0,72,2475,23226,0,382,8,2
2013-02-05,175686,3,20,24,28,32,0,66,1845,18970,0,440,11,2
2013-02-06,175893,15,23,26,28,32,0,58,1696,19125,0,499,12,2
2013-02-07,180932,3,18,19,24,27,0,57,2106,21152,0,492,10,2
2013-02-08,190537,11,14,16,19,25,0,69,2154,21786,0,436,10,2
2013-02-09,197465,9,11,13,14,31,0,78,2235,23006,0,394,10,2
2013-02-11,190482,1,24,31,32,35,0,58,1982,19715,0,560,11,2
2013-02-12,171986,2,13,16,20,27,1,65,1921,19258,19062,132,11,2
2013-02-13,174260,8,10,14,17,32,0,49,1889,19817,0,565,10,2
2013-02-14,177680,6,8,15,24,28,1,69,2117,20763,18996,124,10,2
2013-02-15,187348,19,21,24,33,35,0,66,1891,21187,0,452,11,2
2013-02-16,190761,8,14,23,30,34,0,64,1928,20801,0,490,12,2
2013-02-18,186385,5,8,26,29,35,0,67,2014,21164,0,442,10,2
2013-02-19,170286,11,14,17,23,37,0,72,2222,20340,0,359,8,2
2013-02-20,172090,2,4,11,17,25,0,84,2122,21096,0,304,9,2
2013-02-21,179593,11,19,20,23,35,1,38,1932,20480,19607,233,11,2
